Krank_Acisi_deg,theta2_deg,theta3_deg,theta4_deg,theta5_deg,omega2_deg_s,omega3_deg_s,omega4_deg_s,omega5_deg_s,alpha2_deg_s2,alpha3_deg_s2,alpha4_deg_s2,alpha5_deg_s2,Kisit_Kalintisi_mm,Newton_Iterasyon,Jacobian_Cond
0,-22.6198649480404,-59.4897625938844,-153.049333115143,-70.7115887759093,-172.307692307692,-92.3076923076923,114.2845521608,65.852110993066,-1122.3534254166,-2230.05572401566,218.329844953888,-547.953035238671,1.4210854715202e-14,2,3.06234136136057
0.5,-22.860260648534,-59.6201196636382,-152.890395016453,-70.6206563159798,-173.859874316031,-95.40718802191,114.585568950588,65.090415048284,-1112.66737070885,-2233.0788362321,215.128710083558,-548.887273697601,2.8421709430404e-14,4,3.07208343085862
1,-23.1028025799924,-59.7547842338512,-152.731041937251,-70.5307826646283,-175.398094794201,-98.5102968660858,114.882116282984,64.3274291597029,-1102.24648105474,-2235.25479072817,211.893818643139,-549.810630184465,2.8421709430404e-14,4,3.08168937938747
1.5,-23.3474706381786,-59.8937604982965,-152.57128011769,-70.4419696030944,-176.921323516107,-101.615826329012,115.174147241998,63.5631681239972,-1091.0769974763,-2236.56075989611,208.625124799287,-550.723562170234,2.8421709430404e-14,4,3.09115420697733
2,-23.5942432749064,-60.0370509726102,-152.41111586313,-70.3542188925095,-178.428511561399,-104.722552514119,115.461614848177,62.7976460994116,-1079.14576824198,-2236.97438735065,205.322582979936,-551.626531506583,7.105427357601e-15,4,3.10047290122367
2.5,-23.8430974726789,-60.1846564511771,-152.25055554422,-70.2675322747875,-179.918592196604,-107.829220839826,115.74447205887,62.0308765997459,-1066.44030331662,-2236.4738542282,201.986147722811,-552.520004325533,2.1316282072803e-14,4,3.10964044290875
3,-24.0940087206044,-60.3365759650517,-152.089605596993,-70.181911473524,-181.390481832299,-110.934546832937,116.02267176827,61.2628724884804,-1052.94882937181,-2235.0379468457,198.615773523261,-553.404450938461,2.1316282072803e-14,4,3.11865181182606
3.5,-24.3469509916944,-60.4928067410487,-151.928272522951,-70.0973581949038,-182.843081056963,-114.037217016833,116.296166807254,60.4936459730415,-1038.66034515915,-2232.64612551217,195.211414681525,-554.280345734584,2.1316282072803e-14,4,3.12750199279962
4,-24.6018967216503,-60.6533441621325,-151.76656288915,-70.0138741286156,-184.275275747858,-117.135889895911,116.564909943,59.7232085992088,-1023.56467703505,-2229.27859426783,191.77302514952,-555.14816707901,1.4210854715202e-14,4,3.1361859818894
4.5,-24.8588167892482,-60.8181817292417,-151.604483328294,-69.9314609487751,-185.685938259017,-120.229197037385,116.828853878401,58.951571245664,-1007.65253441243,-2224.91637130832,188.300558377235,-556.008397210456,2.8421709430404e-14,4,3.14469879277266
5,-25.1176804984254,-60.9873110246848,-151.442040538821,-69.8501203148549,-187.073928686049,-123.315744251221,117.087951251261,58.1787441186823,-990.915564902741,-2219.54135983437,184.793967158851,-556.861522138735,1.4210854715202e-14,4,3.15303546329012
5.5,-25.3784555621775,-61.1607216772423,-151.279241284998,-69.7698538726223,-188.438096207181,-126.394112868619,117.342154633273,57.4047367469656,-973.346408899313,-2213.13641905095,181.253203478639,-557.708031542097,1.4210854715202e-14,4,3.16119106214474
6,-25.6411080883706,-61.3384013291135,-151.116092397008,-69.6906632550836,-189.777280499566,-129.462861119037,117.591416528792,56.6295579766192,-954.93875334319,-2205.68543502457,177.678218356776,-558.548418664523,2.8421709430404e-14,4,3.16916069573975
6.5,-25.9056025675712,-61.5203356048437,-150.952600771051,-69.6125500834358,-191.090313229549,-132.520525605351,117.835689373386,55.8532159662706,-935.687384402446,-2197.17339109307,174.068961695127,-559.383180213057,1.4210854715202e-14,4,3.17693951514152
7,-26.1719018629973,-61.7065080823681,-150.788773369436,-69.5355159680247,-192.37601961518,-135.565622876314,118.074925532176,55.0757181823306,-915.588238788147,-2187.58643750918,170.425382123114,-560.212816255266,2.8421709430404e-14,4,3.18452272315185
7.5,-26.4399672026884,-61.8969002663067,-150.62461722068,-69.4595625093092,-193.633220058888,-138.596651095023,118.309077297962,54.2970713943975,-894.638453423177,-2176.91195998745,166.747426843742,-561.037830116911,2.8421709430404e-14,4,3.19190558147314
8,-26.7097581739898,-62.0914915636416,-150.460139419614,-69.3846912988329,-194.860731847833,-141.612091801624,118.538096889137,53.5172816708024,-872.836413174971,-2165.13864681446,163.035041479886,-561.85872827991,2.8421709430404e-14,4,3.19908341794903
