Krank_Acisi_deg,Analitik_theta3_deg,Simscape_theta3_deg,Hata_theta3_deg,Analitik_theta5_deg,Simscape_theta5_deg,Hata_theta5_deg,Analitik_omega3_deg_s,Simscape_omega3_deg_s,Hata_omega3_deg_s,Analitik_omega5_deg_s,Simscape_omega5_deg_s,Hata_omega5_deg_s,Analitik_alpha3_deg_s2,Simscape_alpha3_deg_s2,Hata_alpha3_deg_s2,Analitik_alpha5_deg_s2,Simscape_alpha5_deg_s2,Hata_alpha5_deg_s2
0,-59.4897625938844,-59.4897625939,-1.55537804857886e-11,-70.7115887759093,-70.7115887759,9.32232069317251e-12,-92.3076923076923,-92.3076923077212,-2.89617219095817e-11,65.852110993066,65.852110993067,1.05160324892495e-12,-2230.05572401566,-2230.05572401526,4.00632416130975e-10,-547.953035238671,-547.953035238684,-1.2732925824821e-11
1,-59.7547842338512,-59.7547842304273,3.42391359708927e-09,-70.5307826646283,-70.5307826652848,-6.56484644423472e-10,-98.5102968660858,-98.5102968619343,4.15147383137082e-09,64.3274291597029,64.3274291596494,-5.35038680027355e-11,-2235.25479072817,-2235.25479084283,-1.14655904326355e-07,-549.810630184465,-549.810630183497,9.67929736361839e-10
2,-60.0370509726102,-60.0370509682145,4.39577263477986e-09,-70.3542188925095,-70.3542188931081,-5.98546989749593e-10,-104.722552514119,-104.722552509122,4.99690600008762e-09,62.7976460994116,62.7976460993594,-5.22035747962946e-11,-2236.97438735065,-2236.97438750499,-1.54333520185901e-07,-551.626531506583,-551.626531505731,8.51741788210347e-10
3,-60.3365759650517,-60.3365759594895,5.56224222236779e-09,-70.181911473524,-70.1819114740684,-5.44417844139389e-10,-110.934546832937,-110.934546827051,5.88589443850651e-09,61.2628724884805,61.2628724884297,-5.07824893247744e-11,-2235.0379468457,-2235.03794704984,-2.04139723791741e-07,-553.404450938461,-553.404450937717,7.44080352887977e-10
4,-60.6533441621324,-60.6533441551871,6.94534918466161e-09,-70.0138741286156,-70.0138741291095,-4.93898255626846e-10,-117.135889895911,-117.135889889127,6.78403466736199e-09,59.7232085992088,59.7232085991596,-4.92335061608173e-11,-2229.27859426783,-2229.2785945335,-2.65672952082241e-07,-555.14816707901,-555.148167078363,6.4721916714916e-10
5,-60.9873110246848,-60.9873110161175,8.56726245501704e-09,-69.8501203148549,-69.8501203153017,-4.46817693955381e-10,-123.315744251221,-123.315744243573,7.64745777814824e-09,58.1787441186823,58.178744118635,-4.72724082101195e-11,-2219.54135983437,-2219.54136017497,-3.40593942382839e-07,-556.861522138735,-556.861522138178,5.56838131160475e-10
6,-61.3384013291135,-61.3384013186646,1.04489288332843e-08,-69.6906632550835,-69.6906632554866,-4.0307668314199e-10,-129.462861119037,-129.462861110617,8.42035774439864e-09,56.6295579766192,56.6295579765739,-4.52899939773488e-11,-2205.68543502457,-2205.68543545507,-4.3050658860011e-07,-558.548418664523,-558.548418664049,4.7418780013686e-10
7,-61.7065080823681,-61.7065080697578,1.26103643083297e-08,-69.5355159680247,-69.5355159683871,-3.62476271220658e-10,-135.565622876314,-135.565622867278,9.03631303117436e-09,55.0757181823306,55.0757181822874,-4.31512603427109e-11,-2187.58643750918,-2187.58643804615,-5.36970674147597e-07,-560.212816255266,-560.212816254866,4.00632416130975e-10
8,-62.0914915636416,-62.0914915485724,1.50692045508549e-08,-69.3846912988329,-69.3846912991578,-3.24959614772524e-10,-141.612091801624,-141.612091792206,9.41759026318323e-09,53.5172816708023,53.5172816707613,-4.10196321354306e-11,-2165.13864681446,-2165.13864747583,-6.61369085719343e-07,-561.85872827991,-561.858728279576,3.34807737090159e-10
9,-62.4931785100193,-62.4931784921785,1.78408043893796e-08,-69.2382019500599,-69.2382019503502,-2.90285129267431e-10,-147.59006494195,-147.590064932474,9.47548528529296e-09,51.9542941578781,51.9542941578393,-3.87814225177863e-11,-2138.25716933172,-2138.25717013658,-8.04860064818058e-07,-563.490218608883,-563.490218608606,2.77054823527578e-10
