Krank_Acisi_deg,Simscape_theta3_deg,Simscape_theta5_deg,Simscape_omega3_deg_s,Simscape_omega5_deg_s,Simscape_alpha3_deg_s2,Simscape_alpha5_deg_s2
0,-59.4897625939,-70.7115887759,-92.3076923077212,65.852110993067,-2230.05572401526,-547.953035238684
1,-59.7547842304273,-70.5307826652848,-98.5102968619343,64.3274291596494,-2235.25479084283,-549.810630183497
2,-60.0370509682145,-70.3542188931081,-104.722552509122,62.7976460993594,-2236.97438750499,-551.626531505731
3,-60.3365759594895,-70.1819114740684,-110.934546827051,61.2628724884297,-2235.03794704984,-553.404450937717
4,-60.6533441551871,-70.0138741291095,-117.135889889127,59.7232085991596,-2229.2785945335,-555.148167078363
5,-60.9873110161175,-69.8501203153017,-123.315744243573,58.178744118635,-2219.54136017497,-556.861522138178
6,-61.3384013186646,-69.6906632554866,-129.462861110617,56.6295579765739,-2205.68543545507,-558.548418664049
7,-61.7065080697578,-69.5355159683871,-135.565622867278,55.0757181822874,-2187.58643804615,-560.212816254866
8,-62.0914915485724,-69.3846912991578,-141.612091792206,53.5172816707613,-2165.13864747583,-561.858728279576
9,-62.4931784921785,-69.2382019503502,-147.590064932474,51.9542941578393,-2138.25717013658,-563.490218608606
10,-62.9113614418189,-69.0960605132676,-153.487134835582,50.3867900044543,-2106.87998975653,-565.111398368928
11,-63.3457982656057,-68.9582794996849,-159.290755765682,48.8147920898296,-2070.96985793212,-566.726422732203
12,-63.7962118721956,-68.824871373908,-164.988314896119,47.2383116935469,-2030.51597895246,-568.339487744727
13,-64.2622901284135,-68.6958485851483,-170.567207844219,45.6573483863504,-1985.5354440582,-569.954827206879
14,-64.7436859918649,-68.5712236001896,-176.014917792473,44.0718899295461,-1936.07437257,-571.576709609006
15,-65.2400178673169,-68.4510089363216,-181.319097326917,42.4819121828231,-1882.20872104497,-573.20943512959
16,-65.7508701930685,-68.3352171945185,-186.467652022393,40.8873790203233,-1824.04472676519,-574.857332700566
17,-66.2757942607166,-68.2238610928396,-191.448824719532,39.2882422547664,-1761.71895836307,-576.524757143671
